"","loc_id","Protein.names","uniprot_accession.y","Gene.Names","Organism","sample","count","tissue","treatment","day"
"33","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T011G",0,"G","control","0"
"34","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T012F",0,"F","control","0"
"35","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T012FX",0,"X","control","0"
"36","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T012G",0,"G","control","0"
"37","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T014F",0,"F","OA","3"
"38","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T014G",0,"G","OA","3"
"39","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T015F",0,"F","OA","3"
"40","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T015G",0,"G","OA","3"
"41","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T016F",0,"F","OA","3"
"42","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T016G",0,"G","OA","3"
"43","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T017F",0,"F","OA","3"
"44","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T017G",0,"G","OA","3"
"45","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T019F",0,"F","OA","3"
"46","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T019G",0,"G","OA","3"
"47","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T021F",0,"F","OA","3"
"48","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T021G",0,"G","OA","3"
"49","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T023F",0,"F","OA","3"
"50","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T023G",0,"G","OA","3"
"51","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T025F",0,"F","OA","3"
"52","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T025G",0,"G","OA","3"
"53","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T026F",0,"F","OA","3"
"54","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T026G",0,"G","OA","3"
"55","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T027F",0,"F","OA","3"
"56","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T027G",0,"G","OA","3"
"57","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T029F",0,"F","OW","3"
"58","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T029G",0,"G","OW","3"
"59","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T030F",0,"F","OW","3"
"60","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T030G",0,"G","OW","3"
"61","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T031F",0,"F","OW","3"
"62","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T031G",0,"G","OW","3"
"63","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T033F",0,"F","OW","3"
"64","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T033G",0,"G","OW","3"
"65","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T034F",0,"F","OW","3"
"66","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T034G",0,"G","OW","3"
"67","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T035F",0,"F","OW","3"
"68","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T035G",0,"G","OW","3"
"69","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T036F",0,"F","OW","3"
"70","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T036G",0,"G","OW","3"
"71","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T037F",0,"F","OW","3"
"72","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T037G",0,"G","OW","3"
"73","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T038F",0,"F","OW","3"
"74","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T038G",0,"G","OW","3"
"75","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T039F",0,"F","OW","3"
"76","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T039G",0,"G","OW","3"
"77","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T040F",0,"F","OW","3"
"78","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T040G",0,"G","OW","3"
"79","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T041F",0,"F","OW","3"
"80","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T041G",0,"G","OW","3"
"81","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T046F",0,"F","DO","3"
"82","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T046G",0,"G","DO","3"
"83","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T047G",0,"G","DO","3"
"84","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T049F",0,"F","DO","3"
"85","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T049G",0,"G","DO","3"
"86","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T051F",0,"F","DO","3"
"87","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T051G",0,"G","DO","3"
"88","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T052F",0,"F","DO","3"
"89","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T052G",0,"G","DO","3"
"90","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T055F",0,"F","DO","3"
"91","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T055G",0,"G","DO","3"
"92","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T056F",0,"F","DO","3"
"93","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T056G",0,"G","DO","3"
"94","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T057F",0,"F","DO","3"
"95","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T057G",0,"G","DO","3"
"96","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T058F",0,"F","DO","3"
"97","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T058G",0,"G","DO","3"
"98","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T110F",0,"F","DO","3"
"99","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T110G",0,"G","DO","3"
"100","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T111F",0,"F","DO","3"
"101","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T111G",0,"G","DO","3"
"102","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T112F",0,"F","DO","3"
"103","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T112G",0,"G","DO","3"
"104","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T118F",0,"F","OA","3"
"105","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T118G",0,"G","OA","3"
"106","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T119F",0,"F","OA","3"
"107","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T119G",0,"G","OA","3"
"108","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T126F",0,"F","control","3"
"109","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T126G",0,"G","control","3"
"110","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T127F",0,"F","control","3"
"111","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T127G",0,"G","control","3"
"112","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T128F",0,"F","control","3"
"113","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T128G",0,"G","control","3"
"114","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T129F",0,"F","control","3"
"115","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T129G",0,"G","control","3"
"116","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T130F",0,"F","control","3"
"117","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T130G",0,"G","control","3"
"118","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T131F",0,"F","control","3"
"119","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T131G",0,"G","control","3"
"120","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T132F",0,"F","control","3"
"121","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T132G",0,"G","control","3"
"122","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T133F",0,"F","control","3"
"123","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T133G",0,"G","control","3"
"124","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T134F",0,"F","control","3"
"125","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T134G",0,"G","control","3"
"126","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T135F",0,"F","control","3"
"127","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T135G",0,"G","control","3"
"128","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T136F",0,"F","control","3"
"129","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T136G",0,"G","control","3"
"130","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T137F",0,"F","control","3"
"131","LOC134710395","Foot protein 1","A0A8S3PYW8","MEDL_2404","Mytilus edulis (Blue mussel)","T137G",0,"G","control","3"
"132","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T001F",0,"F","control","0"
"133","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T001FX",0,"X","control","0"
"134","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T001G",0,"G","control","0"
"135","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T002F",6,"F","control","0"
"136","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T002FX",57,"X","control","0"
"137","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T002G",0,"G","control","0"
"138","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T003F",187,"F","control","0"
"139","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T003FX",98,"X","control","0"
"140","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T003G",0,"G","control","0"
"141","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T004F",0,"F","control","0"
"142","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T004FX",0,"X","control","0"
"143","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T004G",0,"G","control","0"
"144","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T005F",0,"F","control","0"
"145","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T005FX",0,"X","control","0"
"146","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T005G",0,"G","control","0"
"147","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T006F",235,"F","control","0"
"148","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T006FX",151,"X","control","0"
"149","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T006G",0,"G","control","0"
"150","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T007F",0,"F","control","0"
"151","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T007FX",0,"X","control","0"
"152","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T007G",0,"G","control","0"
"153","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T008F",104,"F","control","0"
"154","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T008FX",31,"X","control","0"
"155","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T008G",0,"G","control","0"
"156","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T009F",161,"F","control","0"
"157","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T009FX",118,"X","control","0"
"158","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T009G",0,"G","control","0"
"159","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T010F",466,"F","control","0"
"160","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T010FX",182,"X","control","0"
"161","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T010G",3,"G","control","0"
"162","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T011F",0,"F","control","0"
"163","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T011FX",0,"X","control","0"
"164","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T011G",0,"G","control","0"
"165","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T012F",0,"F","control","0"
"166","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T012FX",0,"X","control","0"
"167","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T012G",0,"G","control","0"
"168","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T014F",0,"F","OA","3"
"169","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T014G",0,"G","OA","3"
"170","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T015F",0,"F","OA","3"
"171","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T015G",0,"G","OA","3"
"172","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T016F",0,"F","OA","3"
"173","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T016G",0,"G","OA","3"
"174","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T017F",0,"F","OA","3"
"175","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T017G",0,"G","OA","3"
"176","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T019F",0,"F","OA","3"
"177","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T019G",0,"G","OA","3"
"178","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T021F",0,"F","OA","3"
"179","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T021G",0,"G","OA","3"
"180","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T023F",0,"F","OA","3"
"181","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T023G",0,"G","OA","3"
"182","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T025F",0,"F","OA","3"
"183","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T025G",0,"G","OA","3"
"184","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T026F",0,"F","OA","3"
"185","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T026G",0,"G","OA","3"
"186","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T027F",0,"F","OA","3"
"187","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T027G",0,"G","OA","3"
"188","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T029F",0,"F","OW","3"
"189","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T029G",0,"G","OW","3"
"190","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T030F",0,"F","OW","3"
"191","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T030G",0,"G","OW","3"
"192","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T031F",35,"F","OW","3"
"193","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T031G",0,"G","OW","3"
"194","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T033F",0,"F","OW","3"
"195","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T033G",0,"G","OW","3"
"196","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T034F",0,"F","OW","3"
"197","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T034G",0,"G","OW","3"
"198","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T035F",0,"F","OW","3"
"199","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T035G",0,"G","OW","3"
"200","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T036F",0,"F","OW","3"
"201","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T036G",0,"G","OW","3"
"202","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T037F",0,"F","OW","3"
"203","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T037G",0,"G","OW","3"
"204","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T038F",0,"F","OW","3"
"205","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T038G",0,"G","OW","3"
"206","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T039F",0,"F","OW","3"
"207","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T039G",0,"G","OW","3"
"208","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T040F",153,"F","OW","3"
"209","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T040G",1,"G","OW","3"
"210","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T041F",0,"F","OW","3"
"211","LOC134727530","Foot protein 14","A0A223HCK7",NA,"Mytilus californianus (California mussel)","T041G",0,"G","OW","3"
