qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/45913,84.452,894,131,5,1,890,29,918,0,874
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/296603,83.892,925,138,10,106,1026,9,926,0,872
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/290830,84.34,894,132,5,1,890,29,918,0,869
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/283276,83.177,957,147,10,249,1194,165,1118,0,863
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/252451,81.948,1047,162,20,1,1026,30,1070,0,861
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/273811,85.287,836,117,3,1,833,29,861,0,857
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/269177,84.742,852,117,12,178,1026,5,846,0,841
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/282648,83.692,883,130,13,147,1026,1,872,0,821
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/268741,81.407,1038,152,28,1,1026,28,1036,0,809
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/281686,85.548,775,109,3,178,951,6,778,0,808
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/233908,84.875,800,112,4,1,797,29,822,0,798
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/306994,84.956,791,114,3,408,1194,1,790,0,797
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/274449,85.42,727,104,2,226,951,1,726,0,754
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/340550,85.02,741,108,3,557,1296,1,739,0,750
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/287798,83.252,824,128,9,206,1026,1,817,0,749
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/325246,84.626,696,102,3,503,1194,1,695,0,688
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/288144,82.959,757,119,9,273,1026,1,750,0,675
lcl|KY627780.1_cds_AST36139.1_1,MT_Pool_HQ_transcript/295490,84.835,666,99,2,287,951,1,665,0,669
lcl|KY627778.1_cds_AST36137.1_1,MT_Pool_HQ_transcript/385778,95,60,3,0,1,60,50,109,3.21e-18,95.3
lcl|KY627777.1_cds_AST36136.1_1,MT_Pool_HQ_transcript/361094,88.511,618,59,6,1,612,14,625,0,737
lcl|KY627775.1_cds_AST36134.1_1,MT_Pool_HQ_transcript/333797,82.338,770,109,12,1,745,32,799,0,643
lcl|KY627774.1_cds_AST36133.1_1,MT_Pool_HQ_transcript/384883,89.807,363,37,0,1,363,14,376,1.0299999999999998e-129,466
lcl|KY627773.1_cds_AST36132.1_1,MT_Pool_HQ_transcript/389528,87.613,331,32,3,4,325,15,345,1.9e-102,375
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/156421,88.597,2096,193,26,1,2088,13,2070,0,2507
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/192339,88.544,2095,196,24,1,2088,13,2070,0,2501
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/192046,88.496,2095,197,21,1,2088,13,2070,0,2495
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/45719,88.496,2095,197,25,1,2088,13,2070,0,2495
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/72593,88.348,2094,202,23,1,2088,15,2072,0,2479
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/165231,88.305,2095,201,25,1,2088,13,2070,0,2473
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/183898,88.162,2095,204,25,1,2088,12,2069,0,2457
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/185234,88.168,2096,190,35,1,2088,11,2056,0,2446
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/184166,88.247,2076,196,26,21,2088,22,2057,0,2440
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/105172,88.546,2043,193,23,1,2036,13,2021,0,2440
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/160790,88.439,2050,197,21,44,2088,283,2297,0,2438
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/77284,88.443,2042,196,22,1,2036,14,2021,0,2429
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/181916,88.025,2096,190,31,1,2088,13,2055,0,2425
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/184575,88.333,2040,192,27,56,2088,1,2001,0,2409
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/188264,87.924,2095,178,46,1,2088,13,2039,0,2399
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/205444,88.477,1996,189,21,100,2088,1,1962,0,2374
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/204029,88.608,1975,182,25,123,2088,8,1948,0,2362
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/215963,89.198,1907,173,21,189,2088,3,1883,0,2351
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/192866,88.456,1975,187,24,121,2088,2,1942,0,2348
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/208337,89.093,1907,173,22,190,2088,1,1880,0,2338
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/196529,87.208,2095,203,34,1,2088,13,2049,0,2326
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/145264,88.506,1914,177,24,1,1906,13,1891,0,2276
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/218371,88.462,1898,169,26,199,2088,1,1856,0,2248
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/127356,88.134,1913,186,23,1,1906,13,1891,0,2237
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/34692,88.134,1913,186,21,1,1906,13,1891,0,2237
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/217125,89.013,1784,162,21,312,2088,1,1757,0,2180
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/242020,89.165,1689,154,18,404,2088,3,1666,0,2080
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/235792,89.019,1703,153,21,394,2088,1,1677,0,2080
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/236297,88.364,1736,152,26,361,2088,1,1694,0,2043
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/225339,88.647,1700,160,20,396,2088,1,1674,0,2041
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/240823,88.578,1646,154,21,451,2088,1,1620,0,1969
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/254964,88.645,1638,154,19,458,2088,1,1613,0,1967
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/109083,88.647,1559,148,11,232,1786,844,2377,0,1871
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/109083,89.274,606,63,2,1187,1791,203,807,0,760
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/31438,88.647,1559,148,11,232,1786,1537,3070,0,1871
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/31438,83.851,1127,136,24,1,1120,13,1100,0,1031
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/31438,88.449,606,57,13,1187,1791,908,1501,0,721
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/203228,88.582,1559,149,11,232,1786,126,1659,0,1866
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/179854,88.582,1559,149,11,232,1786,321,1854,0,1866
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/154529,88.582,1559,149,11,232,1786,566,2099,0,1866
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/154529,90.943,530,46,2,1263,1791,1,529,0,713
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/122914,88.582,1559,148,12,232,1786,738,2270,0,1866
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/122914,89.274,606,63,2,1187,1791,97,701,0,760
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/108361,88.582,1559,149,11,232,1786,786,2319,0,1866
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/108361,89.109,606,64,2,1187,1791,145,749,0,754
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/32527,88.582,1559,149,11,232,1786,1570,3103,0,1866
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/32527,85.448,1127,141,17,1,1120,13,1123,0,1151
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/32527,89.274,606,63,2,1187,1791,929,1533,0,760
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/226210,88.518,1559,149,15,232,1786,11,1543,0,1860
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/139807,88.518,1559,150,11,232,1786,526,2059,0,1860
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/139807,91.429,490,38,4,1303,1791,3,489,0,671
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/99112,88.518,1559,150,11,232,1786,918,2451,0,1860
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/99112,89.274,606,63,2,1187,1791,277,881,0,760
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/98888,88.518,1559,150,11,232,1786,848,2381,0,1860
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/98888,89.274,606,63,2,1187,1791,207,811,0,760
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/92340,88.518,1559,150,11,232,1786,1006,2539,0,1860
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/92340,89.274,606,63,2,1187,1791,365,969,0,760
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/65294,88.518,1559,150,11,232,1786,1214,2747,0,1860
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/65294,84.813,777,101,15,351,1120,1,767,0,765
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/65294,89.439,606,62,2,1187,1791,573,1177,0,765
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/35828,88.518,1559,150,11,232,1786,1546,3079,0,1860
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/35828,84.827,1127,124,25,1,1120,13,1099,0,1090
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/35828,89.439,606,62,2,1187,1791,905,1509,0,765
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/136047,88.454,1559,151,11,232,1786,627,2160,0,1855
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/136047,89.865,592,57,3,1201,1791,1,590,0,760
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/52372,88.454,1559,151,11,232,1786,1337,2870,0,1855
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/52372,86.526,898,105,13,230,1120,2,890,0,974
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/52372,89.439,606,62,2,1187,1791,696,1300,0,765
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/157229,88.383,1558,153,10,232,1786,432,1964,0,1849
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/80738,88.383,1558,153,10,232,1786,1063,2595,0,1849
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/80738,89.769,606,60,2,1187,1791,422,1026,0,776
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/20328,88.375,1557,154,10,232,1786,1546,3077,0,1847
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/20328,84.206,1127,131,26,1,1120,13,1099,0,1051
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/20328,89.439,606,62,2,1187,1791,905,1509,0,765
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/251670,88.063,1575,156,19,521,2088,1,1550,0,1840
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/153990,82.851,2245,194,165,3,2088,16,2228,0,1840
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/14819,88.277,1561,152,13,232,1786,1550,3085,0,1840
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/14819,83.496,1127,142,22,1,1120,13,1102,0,1011
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/14819,87.809,607,71,3,1187,1791,908,1513,0,710
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/89831,88.213,1561,151,14,232,1786,710,2243,0,1832
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/89831,89.274,606,63,2,1187,1791,69,673,0,760
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/48410,88.198,1559,155,11,232,1786,1547,3080,0,1832
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/48410,84.117,1127,132,26,1,1120,14,1100,0,1046
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/48410,89.439,606,62,2,1187,1791,906,1510,0,763
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/58534,88.115,1565,151,17,232,1786,1361,2900,0,1827
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/58534,88.468,607,67,3,1187,1791,719,1324,0,732
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/168351,87.982,1556,161,12,232,1786,476,2006,0,1814
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/253950,88.366,1530,144,21,567,2088,1,1504,0,1810
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/255316,87.737,1582,145,25,515,2088,1,1541,0,1803
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/270504,88.157,1503,144,22,595,2088,2,1479,0,1760
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/262619,88.247,1489,142,20,607,2088,1,1463,0,1751
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/263422,87.717,1498,152,18,598,2088,1,1473,0,1720
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/238840,88.55,1441,135,10,350,1786,1,1415,0,1720
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/249321,88.732,1420,134,8,368,1786,1,1395,0,1712
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/241047,84.689,1783,167,80,385,2088,4,1759,0,1685
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/149011,81.538,2302,184,196,1,2088,15,2289,0,1676
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/79532,88.299,1393,136,13,1,1390,15,1383,0,1644
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/21478,88.299,1393,136,12,1,1390,14,1382,0,1644
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/274343,87.414,1454,134,25,643,2088,2,1414,0,1628
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/268669,88.248,1387,128,22,710,2088,5,1364,0,1628
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/34895,85.272,1616,153,62,232,1786,1626,3217,0,1587
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/273159,87.59,1386,139,19,710,2088,1,1360,0,1578
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/271080,87.803,1361,136,17,734,2088,1,1337,0,1568
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/282974,88,1350,128,21,746,2088,1,1323,0,1567
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/277116,87.982,1323,127,19,773,2088,4,1301,0,1535
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/284748,87.634,1302,124,24,795,2088,1,1273,0,1480
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/253315,87.665,1289,130,9,502,1786,2,1265,0,1472
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/283476,87.393,1285,130,19,811,2088,2,1261,0,1448
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/288489,88.562,1189,117,15,905,2088,3,1177,0,1426
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/298940,88.766,1175,115,14,918,2088,2,1163,0,1424
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/109510,87.889,1222,119,11,232,1449,1546,2742,0,1410
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/109510,84.547,1126,129,23,1,1120,13,1099,0,1074
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/109510,89.274,606,63,2,1187,1791,905,1509,0,760
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/289575,86.672,1313,120,31,784,2088,4,1269,0,1406
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/301240,88.642,1127,110,14,966,2088,1,1113,0,1358
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/198429,87.809,1132,111,13,1,1129,14,1121,0,1301
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/259955,87.732,1133,111,13,1,1129,15,1123,0,1297
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/306925,89.337,1041,90,17,1053,2088,1,1025,0,1290
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/277674,87.334,1129,113,10,662,1786,1,1103,0,1266
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/317835,88.654,1040,101,12,1053,2088,1,1027,0,1253
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/315211,89.463,987,87,14,1106,2088,1,974,0,1232
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/306906,89.211,1001,85,18,1092,2088,1,982,0,1230
lcl|KY627772.1_cds_AST36131.1_1,MT_Pool_HQ_transcript/225673,86.885,1098,115,9,693,1786,1,1073,0,1203
